,State,County_Name,Party,Race_Code,Ethnic_Code,Total_Voters,Election_Date
99,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
100,NC,MECKLENBURG,UNA,B,NL,2,2022-07-26
101,NC,MECKLENBURG,UNA,I,NL,2,2022-07-26
102,NC,MECKLENBURG,UNA,O,HL,1,2022-07-26
103,NC,MECKLENBURG,UNA,O,NL,1,2022-07-26
104,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
105,NC,MECKLENBURG,UNA,U,UN,2,2022-07-26
106,NC,MECKLENBURG,UNA,W,NL,10,2022-07-26
107,NC,MECKLENBURG,UNA,W,NL,16,2022-07-26
108,NC,MECKLENBURG,UNA,W,NL,12,2022-07-26
109,NC,MECKLENBURG,UNA,W,NL,11,2022-07-26
110,NC,MECKLENBURG,UNA,W,UN,3,2022-07-26
111,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
112,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
113,NC,MECKLENBURG,DEM,A,NL,1,2022-07-26
114,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
115,NC,MECKLENBURG,DEM,B,NL,5,2022-07-26
116,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
117,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
118,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
119,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
120,NC,MECKLENBURG,DEM,B,UN,2,2022-07-26
121,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
122,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
123,NC,MECKLENBURG,DEM,O,NL,1,2022-07-26
124,NC,MECKLENBURG,DEM,O,UN,1,2022-07-26
125,NC,MECKLENBURG,DEM,U,UN,1,2022-07-26
126,NC,MECKLENBURG,DEM,W,HL,1,2022-07-26
127,NC,MECKLENBURG,DEM,W,NL,7,2022-07-26
128,NC,MECKLENBURG,DEM,W,NL,21,2022-07-26
129,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
130,NC,MECKLENBURG,DEM,W,NL,28,2022-07-26
131,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
132,NC,MECKLENBURG,DEM,W,NL,16,2022-07-26
133,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
134,NC,MECKLENBURG,DEM,W,NL,6,2022-07-26
135,NC,MECKLENBURG,DEM,W,UN,2,2022-07-26
136,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
137,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
138,NC,MECKLENBURG,REP,U,NL,1,2022-07-26
139,NC,MECKLENBURG,REP,U,UN,1,2022-07-26
140,NC,MECKLENBURG,REP,U,UN,1,2022-07-26
141,NC,MECKLENBURG,REP,W,NL,5,2022-07-26
142,NC,MECKLENBURG,REP,W,NL,19,2022-07-26
143,NC,MECKLENBURG,REP,W,NL,19,2022-07-26
144,NC,MECKLENBURG,REP,W,NL,3,2022-07-26
145,NC,MECKLENBURG,REP,W,NL,16,2022-07-26
146,NC,MECKLENBURG,REP,W,NL,18,2022-07-26
147,NC,MECKLENBURG,REP,W,NL,1,2022-07-26
148,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
149,NC,MECKLENBURG,REP,W,UN,2,2022-07-26
150,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
151,NC,MECKLENBURG,UNA,B,NL,2,2022-07-26
152,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
153,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
154,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
155,NC,MECKLENBURG,UNA,W,NL,3,2022-07-26
156,NC,MECKLENBURG,UNA,W,NL,4,2022-07-26
157,NC,MECKLENBURG,UNA,W,NL,28,2022-07-26
158,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
159,NC,MECKLENBURG,UNA,W,NL,19,2022-07-26
160,NC,MECKLENBURG,UNA,W,NL,17,2022-07-26
161,NC,MECKLENBURG,UNA,W,NL,15,2022-07-26
162,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
163,NC,MECKLENBURG,UNA,W,UN,3,2022-07-26
164,NC,MECKLENBURG,UNA,W,UN,2,2022-07-26
165,NC,MECKLENBURG,UNA,W,UN,2,2022-07-26
166,NC,MECKLENBURG,DEM,O,NL,1,2022-07-26
167,NC,MECKLENBURG,DEM,W,HL,1,2022-07-26
168,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
169,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
170,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
171,NC,MECKLENBURG,DEM,W,NL,2,2022-07-26
172,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
173,NC,MECKLENBURG,REP,W,NL,1,2022-07-26
174,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
175,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
176,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
177,NC,MECKLENBURG,DEM,A,UN,1,2022-07-26
178,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
179,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
180,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
181,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
182,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
183,NC,MECKLENBURG,DEM,I,NL,1,2022-07-26
184,NC,MECKLENBURG,DEM,M,UN,1,2022-07-26
185,NC,MECKLENBURG,DEM,O,HL,1,2022-07-26
186,NC,MECKLENBURG,DEM,U,HL,1,2022-07-26
187,NC,MECKLENBURG,DEM,U,UN,1,2022-07-26
188,NC,MECKLENBURG,DEM,U,UN,2,2022-07-26
189,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
190,NC,MECKLENBURG,DEM,W,NL,4,2022-07-26
191,NC,MECKLENBURG,DEM,W,NL,11,2022-07-26
192,NC,MECKLENBURG,DEM,W,NL,3,2022-07-26
193,NC,MECKLENBURG,DEM,W,NL,6,2022-07-26
194,NC,MECKLENBURG,DEM,W,UN,3,2022-07-26
195,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
196,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
197,NC,MECKLENBURG,REP,W,NL,2,2022-07-26
198,NC,MECKLENBURG,REP,W,NL,5,2022-07-26
199,NC,MECKLENBURG,REP,W,NL,1,2022-07-26
200,NC,MECKLENBURG,REP,W,NL,2,2022-07-26
201,NC,MECKLENBURG,REP,W,NL,5,2022-07-26
202,NC,MECKLENBURG,REP,W,UN,2,2022-07-26
203,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
204,NC,MECKLENBURG,UNA,A,NL,1,2022-07-26
205,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
206,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
207,NC,MECKLENBURG,UNA,O,NL,1,2022-07-26
208,NC,MECKLENBURG,UNA,O,UN,1,2022-07-26
209,NC,MECKLENBURG,UNA,U,HL,1,2022-07-26
210,NC,MECKLENBURG,UNA,U,UN,2,2022-07-26
211,NC,MECKLENBURG,UNA,U,UN,2,2022-07-26
212,NC,MECKLENBURG,UNA,W,HL,1,2022-07-26
213,NC,MECKLENBURG,UNA,W,NL,6,2022-07-26
214,NC,MECKLENBURG,UNA,W,NL,11,2022-07-26
215,NC,MECKLENBURG,UNA,W,NL,2,2022-07-26
216,NC,MECKLENBURG,UNA,W,NL,9,2022-07-26
217,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
218,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
219,NC,MECKLENBURG,UNA,W,UN,2,2022-07-26
220,NC,MECKLENBURG,UNA,W,UN,4,2022-07-26
221,NC,MECKLENBURG,DEM,B,NL,6,2022-07-26
222,NC,MECKLENBURG,DEM,B,NL,4,2022-07-26
223,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
224,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
225,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
226,NC,MECKLENBURG,DEM,B,UN,2,2022-07-26
227,NC,MECKLENBURG,DEM,B,UN,2,2022-07-26
228,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
229,NC,MECKLENBURG,DEM,M,UN,1,2022-07-26
230,NC,MECKLENBURG,DEM,O,HL,1,2022-07-26
231,NC,MECKLENBURG,DEM,U,HL,1,2022-07-26
232,NC,MECKLENBURG,DEM,U,UN,1,2022-07-26
233,NC,MECKLENBURG,DEM,W,HL,1,2022-07-26
234,NC,MECKLENBURG,DEM,W,NL,7,2022-07-26
235,NC,MECKLENBURG,DEM,W,NL,16,2022-07-26
236,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
237,NC,MECKLENBURG,DEM,W,NL,7,2022-07-26
238,NC,MECKLENBURG,DEM,W,NL,8,2022-07-26
239,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
240,NC,MECKLENBURG,DEM,W,UN,3,2022-07-26
241,NC,MECKLENBURG,REP,B,NL,1,2022-07-26
242,NC,MECKLENBURG,REP,W,NL,2,2022-07-26
243,NC,MECKLENBURG,REP,W,NL,13,2022-07-26
244,NC,MECKLENBURG,REP,W,NL,1,2022-07-26
245,NC,MECKLENBURG,REP,W,NL,15,2022-07-26
246,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
247,NC,MECKLENBURG,UNA,A,NL,1,2022-07-26
248,NC,MECKLENBURG,UNA,A,NL,1,2022-07-26
249,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
250,NC,MECKLENBURG,UNA,I,HL,1,2022-07-26
251,NC,MECKLENBURG,UNA,O,HL,1,2022-07-26
252,NC,MECKLENBURG,UNA,O,NL,1,2022-07-26
253,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
254,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
255,NC,MECKLENBURG,UNA,W,HL,1,2022-07-26
256,NC,MECKLENBURG,UNA,W,NL,5,2022-07-26
257,NC,MECKLENBURG,UNA,W,NL,9,2022-07-26
258,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
259,NC,MECKLENBURG,UNA,W,NL,10,2022-07-26
260,NC,MECKLENBURG,UNA,W,UN,3,2022-07-26
261,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
262,NC,MECKLENBURG,DEM,B,NL,5,2022-07-26
263,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
264,NC,MECKLENBURG,DEM,B,NL,3,2022-07-26
265,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
266,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
267,NC,MECKLENBURG,DEM,B,UN,1,2022-07-26
268,NC,MECKLENBURG,DEM,O,NL,1,2022-07-26
269,NC,MECKLENBURG,DEM,U,UN,1,2022-07-26
270,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
271,NC,MECKLENBURG,DEM,W,NL,12,2022-07-26
272,NC,MECKLENBURG,DEM,W,NL,10,2022-07-26
273,NC,MECKLENBURG,DEM,W,NL,6,2022-07-26
274,NC,MECKLENBURG,DEM,W,NL,5,2022-07-26
275,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
