FLORIDA DEPARTMENT OF STATE,,,,,,,,,,
DIVISION OF ELECTIONS,,,,,,,,,,
2022 General Election,,,,,,,,,,
Active Registered Voters by Party and Race,,,,,,,,,,
" Book Closing: October 11, 2022",,,,,,,,,,
"Statistics Generated: October 20, 2022 at 9:00 PM",,,,,,,,,,
,,,,,,,,,,
Party Name,County Name,American Indian or Alaskan Native,Asian or Pacific Islander,"Black, Not Hispanic",Hispanic,"White, Not Hispanic",Other,Multi-Racial,Unknown,Total
Libertarian Party of Florida,Holmes                   ,0,0,0,1,21,1,0,0,23
Libertarian Party of Florida,Indian River             ,1,4,5,12,238,5,1,8,274
Libertarian Party of Florida,Jackson                  ,0,1,5,4,39,0,0,1,50
Libertarian Party of Florida,Jefferson                ,1,0,0,1,15,0,0,1,18
Libertarian Party of Florida,Lafayette                ,0,0,0,0,7,0,0,0,7
Libertarian Party of Florida,Lake                     ,6,6,16,44,662,11,1,12,758
Libertarian Party of Florida,Lee                      ,3,9,27,96,978,22,4,34,"1,173"
Libertarian Party of Florida,Leon                     ,1,4,36,34,478,15,7,25,600
Libertarian Party of Florida,Levy                     ,0,0,3,6,184,3,0,0,196
Libertarian Party of Florida,Liberty                  ,0,0,0,0,4,0,0,0,4
Libertarian Party of Florida,Madison                  ,0,0,1,0,21,0,0,1,23
Libertarian Party of Florida,Manatee                  ,5,8,11,31,651,19,2,25,752
Libertarian Party of Florida,Marion                   ,6,5,19,53,679,13,1,20,796
Libertarian Party of Florida,Martin                   ,2,1,5,15,239,7,0,5,274
Libertarian Party of Florida,Miami-Dade               ,3,22,112,"1,122",613,47,12,99,"2,030"
Libertarian Party of Florida,Monroe                   ,0,1,1,10,181,1,1,6,201
Libertarian Party of Florida,Nassau                   ,1,1,1,7,304,5,1,6,326
Libertarian Party of Florida,Okaloosa                 ,2,13,12,40,592,18,5,26,708
Libertarian Party of Florida,Okeechobee               ,0,0,0,4,27,0,0,0,31
Libertarian Party of Florida,Orange                   ,9,57,123,353,"1,749",64,15,96,"2,466"
Libertarian Party of Florida,Osceola                  ,1,9,17,121,337,13,8,18,524
Libertarian Party of Florida,Palm Beach               ,5,21,89,199,"1,569",39,17,97,"2,036"
Libertarian Party of Florida,Pasco                    ,10,18,26,97,"1,078",26,6,32,"1,293"
Libertarian Party of Florida,Pinellas                 ,17,53,55,101,"2,197",47,15,73,"2,558"
Libertarian Party of Florida,Polk                     ,6,19,39,137,"1,062",22,9,33,"1,327"
Libertarian Party of Florida,Putnam                   ,2,0,6,2,109,3,1,2,125
Libertarian Party of Florida,Santa Rosa               ,7,9,15,15,668,9,5,23,751
Libertarian Party of Florida,Sarasota                 ,5,9,10,34,789,19,8,45,919
Libertarian Party of Florida,Seminole                 ,8,22,43,137,"1,014",30,11,60,"1,325"
Libertarian Party of Florida,St. Johns                ,1,8,11,31,704,19,3,13,790
Libertarian Party of Florida,St. Lucie                ,1,4,25,39,351,14,4,19,457
Libertarian Party of Florida,Sumter                   ,0,2,2,7,144,2,0,6,163
Libertarian Party of Florida,Suwannee                 ,1,0,0,3,72,0,2,5,83
Libertarian Party of Florida,Taylor                   ,1,0,0,1,21,1,0,0,24
Libertarian Party of Florida,Union                    ,0,0,1,3,15,1,0,1,21
Libertarian Party of Florida,Volusia                  ,4,17,30,102,"1,125",20,10,32,"1,340"
Libertarian Party of Florida,Wakulla                  ,0,2,3,2,63,0,0,2,72
Libertarian Party of Florida,Walton                   ,0,0,3,5,172,4,1,10,195
Libertarian Party of Florida,Washington               ,0,0,0,0,37,1,0,0,38
Libertarian Party of Florida,Total,183,555,"1,308","4,111","30,900",883,235,"1,276","39,451"
,,,,,,,,,,
Party for Socialism and Liberation - Florida,Alachua                  ,0,0,0,4,22,3,0,1,30
Party for Socialism and Liberation - Florida,Baker                    ,0,0,0,0,2,0,0,0,2
Party for Socialism and Liberation - Florida,Bay                      ,0,0,2,2,13,0,0,0,17
Party for Socialism and Liberation - Florida,Bradford                 ,0,0,0,0,1,0,0,0,1
Party for Socialism and Liberation - Florida,Brevard                  ,0,0,3,4,39,2,1,4,53
Party for Socialism and Liberation - Florida,Broward                  ,1,1,21,42,48,6,2,6,127
Party for Socialism and Liberation - Florida,Calhoun                  ,0,0,0,0,0,0,0,0,0
Party for Socialism and Liberation - Florida,Charlotte                ,0,0,0,0,9,1,0,0,10
Party for Socialism and Liberation - Florida,Citrus                   ,0,0,0,3,10,0,0,0,13
Party for Socialism and Liberation - Florida,Clay                     ,0,0,3,4,12,0,0,1,20
Party for Socialism and Liberation - Florida,Collier                  ,0,0,2,3,4,0,0,0,9
Party for Socialism and Liberation - Florida,Columbia                 ,0,0,0,0,3,0,0,1,4
Party for Socialism and Liberation - Florida,DeSoto                   ,0,0,0,0,0,0,0,0,0
Party for Socialism and Liberation - Florida,Dixie                    ,0,0,1,0,0,0,0,0,1
Party for Socialism and Liberation - Florida,Duval                    ,0,6,17,6,56,5,0,5,95
Party for Socialism and Liberation - Florida,Escambia                 ,1,2,4,5,34,1,0,0,47
Party for Socialism and Liberation - Florida,Flagler                  ,0,0,0,2,5,0,0,0,7
Party for Socialism and Liberation - Florida,Franklin                 ,0,0,0,0,0,0,0,0,0
Party for Socialism and Liberation - Florida,Gadsden                  ,0,0,0,0,1,0,0,0,1
Party for Socialism and Liberation - Florida,Gilchrist                ,0,0,0,0,1,0,0,0,1
Party for Socialism and Liberation - Florida,Glades                   ,0,0,0,0,0,0,0,0,0
Party for Socialism and Liberation - Florida,Gulf                     ,0,0,0,0,0,0,0,0,0
Party for Socialism and Liberation - Florida,Hamilton                 ,0,0,0,0,1,0,0,0,1
Party for Socialism and Liberation - Florida,Hardee                   ,0,0,0,0,1,0,0,0,1
Party for Socialism and Liberation - Florida,Hendry                   ,0,0,0,1,0,0,0,1,2
Party for Socialism and Liberation - Florida,Hernando                 ,0,0,1,0,7,0,0,0,8
Party for Socialism and Liberation - Florida,Highlands                ,0,0,0,1,5,1,0,0,7
Party for Socialism and Liberation - Florida,Hillsborough             ,0,5,16,28,86,5,1,8,149
Party for Socialism and Liberation - Florida,Holmes                   ,0,0,0,0,2,0,0,0,2
Party for Socialism and Liberation - Florida,Indian River             ,0,0,0,0,2,0,0,0,2
Party for Socialism and Liberation - Florida,Jackson                  ,0,0,1,1,1,0,0,1,4
Party for Socialism and Liberation - Florida,Jefferson                ,0,0,0,0,0,0,0,0,0
Party for Socialism and Liberation - Florida,Lafayette                ,0,0,0,0,0,0,0,0,0
Party for Socialism and Liberation - Florida,Lake                     ,0,0,3,4,17,1,0,0,25
Party for Socialism and Liberation - Florida,Lee                      ,1,0,4,10,28,3,0,0,46
Party for Socialism and Liberation - Florida,Leon                     ,0,0,2,2,26,0,1,1,32
Party for Socialism and Liberation - Florida,Levy                     ,0,0,0,0,1,0,0,0,1
Party for Socialism and Liberation - Florida,Liberty                  ,0,0,0,0,0,0,0,0,0
Party for Socialism and Liberation - Florida,Madison                  ,0,0,0,0,1,0,0,0,1
Party for Socialism and Liberation - Florida,Manatee                  ,0,0,3,5,8,0,1,4,21
Party for Socialism and Liberation - Florida,Marion                   ,0,0,2,6,14,1,0,2,25
Party for Socialism and Liberation - Florida,Martin                   ,0,0,1,1,8,0,0,0,10
Party for Socialism and Liberation - Florida,Miami-Dade               ,1,1,18,62,16,4,2,10,114
Party for Socialism and Liberation - Florida,Monroe                   ,0,0,0,0,4,0,0,0,4
Party for Socialism and Liberation - Florida,Nassau                   ,0,0,1,0,7,0,0,1,9
Party for Socialism and Liberation - Florida,Okaloosa                 ,0,0,3,1,15,1,0,1,21
Party for Socialism and Liberation - Florida,Okeechobee               ,0,0,0,2,1,0,0,0,3
Party for Socialism and Liberation - Florida,Orange                   ,0,2,19,31,61,4,1,13,131
Party for Socialism and Liberation - Florida,Osceola                  ,1,3,1,5,12,1,1,1,25
Party for Socialism and Liberation - Florida,Palm Beach               ,1,5,13,12,61,4,0,2,98
Party for Socialism and Liberation - Florida,Pasco                    ,0,0,7,6,37,2,0,3,55
Party for Socialism and Liberation - Florida,Pinellas                 ,0,3,9,10,65,3,0,8,98
Party for Socialism and Liberation - Florida,Polk                     ,0,4,6,13,29,2,1,6,61
Party for Socialism and Liberation - Florida,Putnam                   ,0,0,1,0,2,0,0,0,3
Party for Socialism and Liberation - Florida,Santa Rosa               ,0,0,1,1,15,1,0,2,20
Party for Socialism and Liberation - Florida,Sarasota                 ,0,0,2,5,26,1,0,6,40
Party for Socialism and Liberation - Florida,Seminole                 ,0,0,7,10,23,5,0,9,54
Party for Socialism and Liberation - Florida,St. Johns                ,0,0,0,1,13,0,0,2,16
Party for Socialism and Liberation - Florida,St. Lucie                ,0,0,2,6,9,0,0,2,19
Party for Socialism and Liberation - Florida,Sumter                   ,0,0,0,1,3,0,0,0,4
Party for Socialism and Liberation - Florida,Suwannee                 ,0,0,0,0,0,0,0,0,0
Party for Socialism and Liberation - Florida,Taylor                   ,0,0,0,0,0,0,0,0,0
Party for Socialism and Liberation - Florida,Union                    ,0,0,0,0,1,0,0,0,1
Party for Socialism and Liberation - Florida,Volusia                  ,1,2,3,4,33,0,0,3,46
Party for Socialism and Liberation - Florida,Wakulla                  ,0,0,0,1,1,0,0,1,3
Party for Socialism and Liberation - Florida,Walton                   ,0,0,0,0,4,0,0,0,4
Party for Socialism and Liberation - Florida,Washington               ,0,0,0,0,0,0,0,0,0
Party for Socialism and Liberation - Florida,Total,7,34,179,305,906,57,11,105,"1,604"
,,,,,,,,,,
People's Party of Florida,Alachua                  ,0,0,3,2,5,1,0,0,11
People's Party of Florida,Baker                    ,0,0,0,0,1,0,0,0,1
People's Party of Florida,Bay                      ,0,0,1,2,6,0,0,0,9
People's Party of Florida,Bradford                 ,0,0,0,0,1,0,0,0,1
People's Party of Florida,Brevard                  ,1,1,1,1,16,0,0,1,21
People's Party of Florida,Broward                  ,1,4,9,9,11,2,0,2,38
People's Party of Florida,Calhoun                  ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Charlotte                ,0,0,0,0,5,0,0,1,6
People's Party of Florida,Citrus                   ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Clay                     ,0,0,0,0,1,0,0,0,1
People's Party of Florida,Collier                  ,0,0,2,4,5,0,0,1,12
People's Party of Florida,Columbia                 ,0,0,1,0,3,0,0,0,4
People's Party of Florida,DeSoto                   ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Dixie                    ,0,0,0,1,1,0,0,0,2
People's Party of Florida,Duval                    ,1,2,17,3,16,0,0,0,39
People's Party of Florida,Escambia                 ,0,0,2,1,7,0,0,1,11
People's Party of Florida,Flagler                  ,0,0,1,0,5,0,0,0,6
People's Party of Florida,Franklin                 ,0,0,0,0,1,0,0,0,1
People's Party of Florida,Gadsden                  ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Gilchrist                ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Glades                   ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Gulf                     ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Hamilton                 ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Hardee                   ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Hendry                   ,0,0,0,1,0,0,0,0,1
People's Party of Florida,Hernando                 ,0,0,0,1,7,0,0,0,8
People's Party of Florida,Highlands                ,0,0,0,1,5,1,0,0,7
People's Party of Florida,Hillsborough             ,0,0,15,6,24,3,0,1,49
People's Party of Florida,Holmes                   ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Indian River             ,0,0,1,0,4,0,0,0,5
People's Party of Florida,Jackson                  ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Jefferson                ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Lafayette                ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Lake                     ,0,0,1,6,7,0,0,0,14
People's Party of Florida,Lee                      ,0,0,4,3,11,0,0,0,18
People's Party of Florida,Leon                     ,0,0,4,1,3,2,0,1,11
People's Party of Florida,Levy                     ,0,0,0,1,2,0,0,0,3
People's Party of Florida,Liberty                  ,0,0,0,0,1,0,0,0,1
People's Party of Florida,Madison                  ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Manatee                  ,0,0,1,1,5,0,0,0,7
People's Party of Florida,Marion                   ,0,0,1,2,6,0,0,0,9
People's Party of Florida,Martin                   ,0,0,1,0,3,0,0,0,4
People's Party of Florida,Miami-Dade               ,0,0,10,19,9,2,1,2,43
People's Party of Florida,Monroe                   ,0,0,0,2,3,0,0,0,5
People's Party of Florida,Nassau                   ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Okaloosa                 ,0,0,1,0,3,0,0,0,4
People's Party of Florida,Okeechobee               ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Orange                   ,0,4,16,14,17,0,0,2,53
People's Party of Florida,Osceola                  ,0,0,2,1,3,0,0,0,6
People's Party of Florida,Palm Beach               ,0,1,8,11,17,0,1,0,38
People's Party of Florida,Pasco                    ,0,0,1,3,14,0,0,1,19
People's Party of Florida,Pinellas                 ,0,2,5,3,26,0,1,1,38
People's Party of Florida,Polk                     ,0,0,4,1,7,0,1,0,13
People's Party of Florida,Putnam                   ,0,0,0,0,2,0,0,0,2
People's Party of Florida,Santa Rosa               ,0,0,0,0,3,0,0,1,4
People's Party of Florida,Sarasota                 ,0,0,0,0,3,0,0,2,5
People's Party of Florida,Seminole                 ,0,0,2,2,8,1,0,0,13
People's Party of Florida,St. Johns                ,0,0,0,2,5,0,0,0,7
People's Party of Florida,St. Lucie                ,0,0,2,2,2,0,0,0,6
People's Party of Florida,Sumter                   ,0,0,0,0,1,0,0,0,1
People's Party of Florida,Suwannee                 ,0,0,0,0,1,0,0,0,1
People's Party of Florida,Taylor                   ,0,0,1,0,1,0,0,0,2
People's Party of Florida,Union                    ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Volusia                  ,0,1,1,2,9,2,0,0,15
People's Party of Florida,Wakulla                  ,0,0,0,0,2,0,0,0,2
People's Party of Florida,Walton                   ,0,0,0,1,1,0,0,0,2
People's Party of Florida,Washington               ,0,0,0,0,0,0,0,0,0
People's Party of Florida,Total,3,15,118,109,299,14,4,17,579
,,,,,,,,,,
Reform Party of Florida,Alachua                  ,0,0,4,1,15,0,0,1,21
Reform Party of Florida,Baker                    ,0,0,0,0,1,0,0,0,1
Reform Party of Florida,Bay                      ,0,2,0,0,12,0,0,1,15
Reform Party of Florida,Bradford                 ,0,0,0,0,2,0,0,0,2
Reform Party of Florida,Brevard                  ,0,1,5,4,39,1,1,1,52
Reform Party of Florida,Broward                  ,0,4,12,15,47,6,0,5,89
Reform Party of Florida,Calhoun                  ,0,0,0,0,1,0,0,0,1
Reform Party of Florida,Charlotte                ,0,0,0,0,7,0,0,0,7
Reform Party of Florida,Citrus                   ,0,0,0,0,10,0,0,0,10
Reform Party of Florida,Clay                     ,0,0,0,0,12,1,0,0,13
Reform Party of Florida,Collier                  ,0,0,2,3,31,2,0,3,41
Reform Party of Florida,Columbia                 ,1,0,1,0,4,0,0,0,6
Reform Party of Florida,DeSoto                   ,0,0,0,0,1,0,0,0,1
Reform Party of Florida,Dixie                    ,0,0,1,0,1,0,0,0,2
Reform Party of Florida,Duval                    ,1,3,24,5,47,4,1,5,90
Reform Party of Florida,Escambia                 ,0,1,4,1,23,0,0,0,29
Reform Party of Florida,Flagler                  ,0,0,0,0,4,1,0,0,5
Reform Party of Florida,Franklin                 ,0,0,0,0,1,0,0,0,1
Reform Party of Florida,Gadsden                  ,0,0,1,1,1,0,0,0,3
Reform Party of Florida,Gilchrist                ,0,0,0,0,1,0,0,0,1
Reform Party of Florida,Glades                   ,0,0,0,0,0,0,0,0,0
Reform Party of Florida,Gulf                     ,0,0,0,0,0,0,0,0,0
Reform Party of Florida,Hamilton                 ,0,0,0,0,1,0,0,0,1
Reform Party of Florida,Hardee                   ,0,0,0,0,0,1,0,0,1
Reform Party of Florida,Hendry                   ,0,0,0,1,1,0,0,0,2
Reform Party of Florida,Hernando                 ,0,0,0,1,14,0,0,1,16
Reform Party of Florida,Highlands                ,0,0,0,2,7,0,0,0,9
Reform Party of Florida,Hillsborough             ,0,2,11,19,56,2,0,3,93
Reform Party of Florida,Holmes                   ,0,0,0,0,0,0,0,0,0
Reform Party of Florida,Indian River             ,0,0,0,2,10,0,0,0,12
Reform Party of Florida,Jackson                  ,0,0,1,0,4,0,0,0,5
Reform Party of Florida,Jefferson                ,0,0,0,0,1,0,0,0,1
Reform Party of Florida,Lafayette                ,0,0,0,0,0,0,0,0,0
Reform Party of Florida,Lake                     ,0,0,2,1,21,0,0,0,24
Reform Party of Florida,Lee                      ,0,0,3,9,26,2,0,1,41
Reform Party of Florida,Leon                     ,0,0,2,1,18,0,0,0,21
Reform Party of Florida,Levy                     ,0,0,0,0,6,0,0,0,6
Reform Party of Florida,Liberty                  ,0,0,0,0,1,0,0,0,1
Reform Party of Florida,Madison                  ,0,0,0,0,1,0,0,0,1
Reform Party of Florida,Manatee                  ,0,1,0,2,17,0,0,1,21
Reform Party of Florida,Marion                   ,1,0,1,1,22,1,1,0,27
Reform Party of Florida,Martin                   ,0,0,1,1,8,0,0,0,10
Reform Party of Florida,Miami-Dade               ,1,0,16,100,21,4,0,7,149
Reform Party of Florida,Monroe                   ,0,0,0,0,5,0,0,0,5
Reform Party of Florida,Nassau                   ,0,0,0,0,8,0,0,0,8
Reform Party of Florida,Okaloosa                 ,1,1,2,0,5,0,0,1,10
Reform Party of Florida,Okeechobee               ,0,0,0,2,3,0,1,0,6
Reform Party of Florida,Orange                   ,2,8,12,35,37,2,2,5,103
Reform Party of Florida,Osceola                  ,0,0,1,15,13,0,0,1,30
Reform Party of Florida,Palm Beach               ,0,1,10,15,68,3,1,4,102
Reform Party of Florida,Pasco                    ,1,1,1,7,42,0,0,0,52
Reform Party of Florida,Pinellas                 ,0,3,5,2,68,1,1,3,83
Reform Party of Florida,Polk                     ,0,0,6,8,25,1,0,1,41
Reform Party of Florida,Putnam                   ,0,0,0,0,3,0,0,0,3
Reform Party of Florida,Santa Rosa               ,0,0,0,0,15,0,0,0,15
Reform Party of Florida,Sarasota                 ,0,0,0,1,16,0,1,2,20
Reform Party of Florida,Seminole                 ,0,0,6,1,21,0,0,2,30
Reform Party of Florida,St. Johns                ,0,0,0,0,20,0,0,0,20
Reform Party of Florida,St. Lucie                ,1,0,6,4,13,1,1,0,26
Reform Party of Florida,Sumter                   ,0,0,1,0,5,0,0,0,6
Reform Party of Florida,Suwannee                 ,0,0,0,1,1,0,0,0,2
Reform Party of Florida,Taylor                   ,0,0,0,0,0,0,0,0,0
Reform Party of Florida,Union                    ,0,0,0,0,0,0,0,0,0
Reform Party of Florida,Volusia                  ,0,0,5,7,37,2,0,0,51
Reform Party of Florida,Wakulla                  ,0,0,0,0,1,0,0,0,1
Reform Party of Florida,Walton                   ,0,0,0,0,6,0,0,0,6
Reform Party of Florida,Washington               ,1,0,1,0,3,0,0,0,5
Reform Party of Florida,Total,10,28,147,268,910,35,10,48,"1,456"
,,,,,,,,,,
No Party Affiliation          ,Alachua                  ,144,"2,973","4,902","4,850","25,890","2,818",402,976,"42,955"
No Party Affiliation          ,Baker                    ,10,24,195,74,"1,831",45,11,73,"2,263"
No Party Affiliation          ,Bay                      ,132,812,"2,185","1,548","21,559",588,165,"1,082","28,071"
No Party Affiliation          ,Bradford                 ,11,28,252,87,"2,240",74,22,63,"2,777"
No Party Affiliation          ,Brevard                  ,411,"3,442","8,267","11,760","91,569","3,268",788,"3,335","122,840"
No Party Affiliation          ,Broward                  ,"1,028","15,281","59,284","112,057","139,588","20,765","3,496","17,820","369,319"
No Party Affiliation          ,Calhoun                  ,11,10,55,26,801,17,12,46,978
No Party Affiliation          ,Charlotte                ,132,633,"1,395","2,106","35,124",749,153,787,"41,079"
No Party Affiliation          ,Citrus                   ,103,500,559,"1,332","25,138",664,98,440,"28,834"
No Party Affiliation          ,Clay                     ,131,"1,686","4,565","4,086","24,612",999,322,"1,403","37,804"
No Party Affiliation          ,Collier                  ,123,"1,099","2,530","11,352","45,523","1,235",204,"1,387","63,453"
No Party Affiliation          ,Columbia                 ,53,150,746,475,"5,988",116,43,195,"7,766"
No Party Affiliation          ,DeSoto                   ,6,40,265,995,"3,072",55,14,65,"4,512"
No Party Affiliation          ,Dixie                    ,10,4,63,41,"1,544",31,8,42,"1,743"
No Party Affiliation          ,Duval                    ,584,"9,026","30,653","14,799","81,725","4,945","1,440","8,202","151,374"
No Party Affiliation          ,Escambia                 ,364,"2,024","6,840","2,071","33,827","1,166",368,"2,191","48,851"
No Party Affiliation          ,Flagler                  ,57,643,"1,614","2,049","18,473",649,115,757,"24,357"
No Party Affiliation          ,Franklin                 ,4,6,33,12,"1,143",10,6,25,"1,239"
No Party Affiliation          ,Gadsden                  ,21,29,973,313,"1,607",73,35,205,"3,256"
No Party Affiliation          ,Gilchrist                ,7,9,37,89,"1,628",28,5,27,"1,830"
No Party Affiliation          ,Glades                   ,66,6,46,232,919,12,6,25,"1,312"
No Party Affiliation          ,Gulf                     ,5,11,89,21,"1,319",24,6,39,"1,514"
No Party Affiliation          ,Hamilton                 ,3,5,215,82,774,12,5,21,"1,117"
No Party Affiliation          ,Hardee                   ,12,49,168,"1,051","1,440",49,19,108,"2,896"
No Party Affiliation          ,Hendry                   ,74,43,300,"1,915","1,473",81,25,101,"4,012"
No Party Affiliation          ,Hernando                 ,161,592,"1,466","5,207","29,489",719,221,"1,306","39,161"
No Party Affiliation          ,Highlands                ,62,378,"1,087","3,617","10,969",240,67,380,"16,800"
No Party Affiliation          ,Hillsborough             ,770,"13,575","32,613","67,993","135,547","7,449","2,241","14,702","274,890"
No Party Affiliation          ,Holmes                   ,7,14,39,18,"1,364",16,6,31,"1,495"
No Party Affiliation          ,Indian River             ,68,395,"1,307","2,512","22,727",572,88,770,"28,439"
No Party Affiliation          ,Jackson                  ,23,38,488,99,"2,510",62,49,114,"3,383"
No Party Affiliation          ,Jefferson                ,5,8,159,30,914,15,3,36,"1,170"
No Party Affiliation          ,Lafayette                ,1,2,10,33,277,4,6,6,339
No Party Affiliation          ,Lake                     ,275,"1,915","5,409","12,829","49,074","1,997",469,"2,198","74,166"
No Party Affiliation          ,Lee                      ,350,"2,957","8,133","25,410","108,620","2,454",707,"5,233","153,864"
No Party Affiliation          ,Leon                     ,134,"1,593","8,698","2,686","23,243","1,134",472,"3,016","40,976"
No Party Affiliation          ,Levy                     ,23,42,278,499,"4,640",139,19,114,"5,754"
No Party Affiliation          ,Liberty                  ,8,2,42,19,377,6,2,12,468
No Party Affiliation          ,Madison                  ,7,8,260,71,"1,036",29,8,89,"1,508"
No Party Affiliation          ,Manatee                  ,227,"2,118","3,267","8,059","53,604","1,488",422,"2,685","71,870"
No Party Affiliation          ,Marion                   ,244,"1,170","4,319","9,580","43,195","1,197",353,"1,586","61,644"
No Party Affiliation          ,Martin                   ,53,440,797,"2,414","23,630",478,100,737,"28,649"
No Party Affiliation          ,Miami-Dade               ,720,"8,278","41,048","312,872","79,178","7,917","2,731","37,790","490,534"
No Party Affiliation          ,Monroe                   ,66,170,404,"1,947","10,516",175,87,466,"13,831"
No Party Affiliation          ,Nassau                   ,48,269,719,642,"13,290",291,56,434,"15,749"
No Party Affiliation          ,Okaloosa                 ,159,"1,386","3,046","2,492","24,456","1,064",367,"1,329","34,299"
No Party Affiliation          ,Okeechobee               ,35,50,192,959,"3,106",79,35,163,"4,619"
No Party Affiliation          ,Orange                   ,718,"15,786","33,650","91,649","103,994","9,270","2,366","18,640","276,073"
No Party Affiliation          ,Osceola                  ,216,"2,627","6,388","53,668","24,543","2,738",787,"2,969","93,936"
No Party Affiliation          ,Palm Beach               ,760,"9,462","29,802","49,667","173,912","7,237","1,842","19,328","292,010"
No Party Affiliation          ,Pasco                    ,470,"4,366","6,368","18,376","83,692","3,116",646,"3,812","120,846"
No Party Affiliation          ,Pinellas                 ,624,"8,064","11,760","14,874","148,371","5,376","1,135","6,871","197,075"
No Party Affiliation          ,Polk                     ,367,"2,788","11,986","40,678","65,526","2,390",721,"6,541","130,997"
No Party Affiliation          ,Putnam                   ,49,95,890,860,"7,677",117,48,335,"10,071"
No Party Affiliation          ,Santa Rosa               ,155,924,"1,584","1,415","25,742",817,167,857,"31,661"
No Party Affiliation          ,Sarasota                 ,278,"1,959","2,389","5,565","74,166","1,224",361,"5,513","91,455"
No Party Affiliation          ,Seminole                 ,305,"5,148","8,903","22,596","54,538","3,806","1,027","7,174","103,497"
No Party Affiliation          ,St. Johns                ,127,"2,344","2,060","3,445","40,146","1,178",238,"1,259","50,797"
No Party Affiliation          ,St. Lucie                ,164,"1,294","8,563","11,521","39,589","1,620",492,"2,061","65,304"
No Party Affiliation          ,Sumter                   ,71,393,545,934,"20,989",246,82,"1,004","24,264"
No Party Affiliation          ,Suwannee                 ,17,40,231,391,"3,900",72,21,122,"4,794"
No Party Affiliation          ,Taylor                   ,11,11,136,27,"1,218",22,8,41,"1,474"
No Party Affiliation          ,Union                    ,8,5,53,34,631,9,6,28,774
No Party Affiliation          ,Volusia                  ,380,"2,195","7,469","16,989","84,288","2,850",664,"4,100","118,935"
No Party Affiliation          ,Wakulla                  ,21,37,275,103,"3,840",53,19,114,"4,462"
No Party Affiliation          ,Walton                   ,42,206,368,517,"10,567",192,42,367,"12,301"
No Party Affiliation          ,Washington               ,22,30,178,75,"2,067",47,23,57,"2,499"
No Party Affiliation          ,Total,"11,753","131,707","373,610","966,795","2,179,965","108,378","26,972","193,805","3,992,985"
