FLORIDA DEPARTMENT OF STATE,,,,,,,,,,
DIVISION OF ELECTIONS,,,,,,,,,,
2022 General Election,,,,,,,,,,
Active Registered Voters by Party and Race,,,,,,,,,,
" Book Closing: October 11, 2022",,,,,,,,,,
"Statistics Generated: October 20, 2022 at 9:00 PM",,,,,,,,,,
,,,,,,,,,,
Party Name,County Name,American Indian or Alaskan Native,Asian or Pacific Islander,"Black, Not Hispanic",Hispanic,"White, Not Hispanic",Other,Multi-Racial,Unknown,Total
Independent Party of Florida,Jackson                  ,1,1,20,2,123,2,0,6,155
Independent Party of Florida,Jefferson                ,0,0,6,0,46,1,0,1,54
Independent Party of Florida,Lafayette                ,1,1,1,2,35,0,1,2,43
Independent Party of Florida,Lake                     ,8,53,281,289,"2,528",83,14,116,"3,372"
Independent Party of Florida,Lee                      ,21,77,391,726,"5,584",114,12,217,"7,142"
Independent Party of Florida,Leon                     ,9,49,428,126,"1,616",43,13,74,"2,358"
Independent Party of Florida,Levy                     ,3,1,19,19,356,10,2,2,412
Independent Party of Florida,Liberty                  ,0,0,0,0,0,0,0,0,0
Independent Party of Florida,Madison                  ,0,0,12,4,31,2,0,1,50
Independent Party of Florida,Manatee                  ,7,66,176,235,"3,414",68,5,138,"4,109"
Independent Party of Florida,Marion                   ,20,42,220,238,"2,676",55,4,82,"3,337"
Independent Party of Florida,Martin                   ,4,13,43,125,"1,899",30,3,50,"2,167"
Independent Party of Florida,Miami-Dade               ,23,131,"1,847","13,062","3,610",391,56,749,"19,869"
Independent Party of Florida,Monroe                   ,2,7,22,106,725,10,2,23,897
Independent Party of Florida,Nassau                   ,5,7,65,36,"1,086",19,0,19,"1,237"
Independent Party of Florida,Okaloosa                 ,6,52,162,93,"1,708",68,7,63,"2,159"
Independent Party of Florida,Okeechobee               ,1,1,11,27,244,2,0,5,291
Independent Party of Florida,Orange                   ,39,354,"1,724","2,001","6,224",393,45,567,"11,347"
Independent Party of Florida,Osceola                  ,7,62,278,679,"1,207",81,12,90,"2,416"
Independent Party of Florida,Palm Beach               ,46,255,"1,788","2,150","13,591",496,54,681,"19,061"
Independent Party of Florida,Pasco                    ,19,123,367,581,"5,063",129,15,199,"6,496"
Independent Party of Florida,Pinellas                 ,29,189,498,525,"8,281",207,34,316,"10,079"
Independent Party of Florida,Polk                     ,16,73,733,810,"4,731",141,19,168,"6,691"
Independent Party of Florida,Putnam                   ,0,3,28,14,437,5,0,12,499
Independent Party of Florida,Santa Rosa               ,10,50,115,92,"2,026",46,3,58,"2,400"
Independent Party of Florida,Sarasota                 ,5,69,103,201,"4,489",84,9,324,"5,284"
Independent Party of Florida,Seminole                 ,16,92,490,679,"3,486",126,13,236,"5,138"
Independent Party of Florida,St. Johns                ,5,61,127,146,"2,647",53,4,63,"3,106"
Independent Party of Florida,St. Lucie                ,8,29,517,406,"2,640",87,8,129,"3,824"
Independent Party of Florida,Sumter                   ,3,6,20,26,905,10,2,52,"1,024"
Independent Party of Florida,Suwannee                 ,4,1,18,17,244,2,0,11,297
Independent Party of Florida,Taylor                   ,0,0,5,0,74,0,0,2,81
Independent Party of Florida,Union                    ,1,0,4,3,56,1,3,1,69
Independent Party of Florida,Volusia                  ,16,71,366,459,"5,372",111,12,191,"6,598"
Independent Party of Florida,Wakulla                  ,2,2,15,6,219,3,1,11,259
Independent Party of Florida,Walton                   ,0,12,29,24,791,13,0,21,890
Independent Party of Florida,Washington               ,0,1,6,0,87,1,1,2,98
Independent Party of Florida,Total,570,"3,286","19,791","32,500","137,567","4,761",585,"6,964","206,024"
,,,,,,,,,,
Libertarian Party of Florida,Alachua                  ,2,11,25,51,630,29,5,12,765
Libertarian Party of Florida,Baker                    ,0,1,1,1,39,2,1,1,46
Libertarian Party of Florida,Bay                      ,1,11,14,21,492,13,1,14,567
Libertarian Party of Florida,Bradford                 ,0,0,1,2,46,0,0,1,50
Libertarian Party of Florida,Brevard                  ,8,18,23,56,"1,530",48,11,45,"1,739"
Libertarian Party of Florida,Broward                  ,8,29,122,420,"1,166",73,12,69,"1,899"
Libertarian Party of Florida,Calhoun                  ,0,0,0,0,6,1,0,0,7
Libertarian Party of Florida,Charlotte                ,1,2,3,11,302,9,0,13,341
Libertarian Party of Florida,Citrus                   ,0,1,7,7,305,1,0,3,324
Libertarian Party of Florida,Clay                     ,6,11,18,25,555,16,4,18,653
Libertarian Party of Florida,Collier                  ,2,7,7,70,460,11,2,16,575
Libertarian Party of Florida,Columbia                 ,1,2,0,3,141,3,0,2,152
Libertarian Party of Florida,DeSoto                   ,0,0,0,2,21,0,0,1,24
Libertarian Party of Florida,Dixie                    ,0,0,0,0,16,1,1,0,18
Libertarian Party of Florida,Duval                    ,15,56,180,134,"2,126",59,18,98,"2,686"
Libertarian Party of Florida,Escambia                 ,10,23,29,35,784,23,4,34,942
Libertarian Party of Florida,Flagler                  ,2,2,7,7,194,7,1,4,224
Libertarian Party of Florida,Franklin                 ,0,0,0,0,18,0,0,0,18
Libertarian Party of Florida,Gadsden                  ,1,0,6,4,38,0,0,0,49
Libertarian Party of Florida,Gilchrist                ,0,0,0,1,47,2,1,0,51
Libertarian Party of Florida,Glades                   ,0,0,0,3,12,1,0,1,17
Libertarian Party of Florida,Gulf                     ,0,0,0,0,28,0,0,1,29
Libertarian Party of Florida,Hamilton                 ,0,0,0,1,14,0,0,0,15
Libertarian Party of Florida,Hardee                   ,0,0,1,7,23,1,1,1,34
Libertarian Party of Florida,Hendry                   ,0,0,0,12,26,0,0,2,40
Libertarian Party of Florida,Hernando                 ,2,2,4,28,356,5,4,8,409
Libertarian Party of Florida,Highlands                ,0,0,0,7,95,1,0,1,104
Libertarian Party of Florida,Hillsborough             ,15,54,108,334,"2,221",76,19,95,"2,922"
